,symbol,name,area,industry,fullname,enname,cnspell,market,exchange,list_status,list_date,delist_date
0,000001,平安银行,深圳,银行,平安银行股份有限公司,"Ping An Bank Co., Ltd.",payh,主板,SZSE,L,19910403,
1,000002,万科A,深圳,全国地产,万科企业股份有限公司,"China Vanke Co.,Ltd.",wka,主板,SZSE,L,19910129,
2,000004,ST国华,深圳,软件服务,深圳国华网安科技股份有限公司,"Shenzhen Guohua Network Security Technology Co., Ltd.",stgh,主板,SZSE,L,19910114,
3,000005,ST星源,深圳,环境保护,深圳世纪星源股份有限公司,Shenzhen Fountain Corporation,stxy,主板,SZSE,L,19901210,
4,000006,深振业A,深圳,区域地产,深圳市振业(集团)股份有限公司,"Shenzhen Zhenye(Group) Co., Ltd",szya,主板,SZSE,L,19920427,
5,000007,*ST全新,深圳,其他商业,深圳市全新好股份有限公司,"Shenzhen Quanxinhao Co,.Ltd.",stqx,主板,SZSE,L,19920413,
6,000008,神州高铁,北京,运输设备,神州高铁技术股份有限公司,"China High Speed Railway Technology Co., Ltd.",szgt,主板,SZSE,L,19920507,
7,000009,中国宝安,深圳,电气设备,中国宝安集团股份有限公司,"China Baoan Group Co.,Ltd.",zgba,主板,SZSE,L,19910625,
8,000010,美丽生态,深圳,建筑工程,深圳美丽生态股份有限公司,"Shenzhen Ecobeauty Co.,Ltd.",mlst,主板,SZSE,L,19951027,
9,000011,深物业A,深圳,区域地产,深圳市物业发展(集团)股份有限公司,Shenzhen Properties & Resources Development (Group) Ltd.,swya,主板,SZSE,L,19920330,
10,000012,南玻A,深圳,玻璃,中国南玻集团股份有限公司,"Csg Holding Co., Ltd.",nba,主板,SZSE,L,19920228,
11,000014,沙河股份,深圳,全国地产,沙河实业股份有限公司,"Shahe Industrial Co.,Ltd.",shgf,主板,SZSE,L,19920602,
12,000016,深康佳A,深圳,家用电器,康佳集团股份有限公司,"Konka Group Co.,Ltd",skja,主板,SZSE,L,19920327,
13,000017,深中华A,深圳,服饰,深圳中华自行车(集团)股份有限公司,Shenzhen China Bicycle Company (Holdings) Limited,szha,主板,SZSE,L,19920331,
14,000019,深粮控股,深圳,农业综合,深圳市深粮控股股份有限公司,"Shenzhen Cereals Holdings Co.,Ltd.",slkg,主板,SZSE,L,19921012,
15,000020,深华发A,深圳,元器件,深圳中恒华发股份有限公司,"Shenzhen Zhongheng Huafa Co.,Ltd.",shfa,主板,SZSE,L,19920428,
16,000021,深科技,深圳,元器件,深圳长城开发科技股份有限公司,"Shenzhen Kaifa Technology Co., Ltd.",skj,主板,SZSE,L,19940202,
17,000023,ST深天,深圳,水泥,深圳市天地(集团)股份有限公司,"Shenzhen Universe (Group) Co.,Ltd.",stst,主板,SZSE,L,19930429,
18,000025,特力A,深圳,汽车服务,深圳市特力(集团)股份有限公司,"Shenzhen Tellus Holding Co.,Ltd.",tla,主板,SZSE,L,19930621,
19,000026,飞亚达,深圳,服饰,飞亚达精密科技股份有限公司,"Fiyta Precision Technology Co., Ltd.",fyd,主板,SZSE,L,19930603,
20,000027,深圳能源,深圳,火力发电,深圳能源集团股份有限公司,"Shenzhen Energy Group Co., Ltd.",szny,主板,SZSE,L,19930903,
21,000028,国药一致,深圳,医药商业,国药集团一致药业股份有限公司,China National Accord Medicines Corporation Ltd.,gyyz,主板,SZSE,L,19930809,
22,000029,深深房A,深圳,区域地产,深圳经济特区房地产(集团)股份有限公司,"Shenzhen Special Economic Zone Real Estate&Properties (Group).Co.,Ltd.",ssfa,主板,SZSE,L,19930915,
23,000030,富奥股份,吉林,汽车配件,富奥汽车零部件股份有限公司,Fawer Automotive Parts Limited Company,fagf,主板,SZSE,L,19930929,
24,000031,大悦城,深圳,全国地产,大悦城控股集团股份有限公司,"Grandjoy Holdings Group Co.,Ltd.",dyc,主板,SZSE,L,19931008,
25,000032,深桑达A,深圳,建筑工程,深圳市桑达实业股份有限公司,"Shenzhen Sed Industry Co.,Ltd.",ssda,主板,SZSE,L,19931028,
26,000034,神州数码,深圳,软件服务,神州数码集团股份有限公司,"Digital China Group Co.,Ltd.",szsm,主板,SZSE,L,19940509,
27,000035,中国天楹,江苏,环境保护,中国天楹股份有限公司,China Tianying Inc.,zgty,主板,SZSE,L,19940408,
28,000036,华联控股,深圳,全国地产,华联控股股份有限公司,China Union Holdings Ltd.,hlkg,主板,SZSE,L,19940617,
29,000037,深南电A,深圳,火力发电,深圳南山热电股份有限公司,Shenzhen Nanshan Power Company Limited,snda,主板,SZSE,L,19940701,
30,000038,大通退,,,深圳大通实业股份有限公司,"Shenzhen Capstone Industrial Co., Ltd.",dtt,主板,SZSE,L,19940808,
31,000039,中集集团,深圳,运输设备,中国国际海运集装箱(集团)股份有限公司,"China International Marine Containers (Group) Co., Ltd",zjjt,主板,SZSE,L,19940408,
32,000040,东旭蓝天,深圳,新型电力,东旭蓝天新能源股份有限公司,"Tunghsu Azure Renewable Energy Co., Ltd.",dxlt,主板,SZSE,L,19940808,
33,000042,中洲控股,深圳,全国地产,深圳市中洲投资控股股份有限公司,"Shenzhen Centralcon Investment Holding Co.,Ltd",zzkg,主板,SZSE,L,19940921,
34,000045,深纺织A,深圳,元器件,深圳市纺织(集团)股份有限公司,"Shenzhen Textile (Holdings) Co.,Ltd",sfza,主板,SZSE,L,19940815,
35,000046,*ST泛海,北京,多元金融,泛海控股股份有限公司,"Oceanwide Holdings Co., Ltd.",stfh,主板,SZSE,L,19940912,
36,000048,京基智农,深圳,区域地产,深圳市京基智农时代股份有限公司,"Shenzhen Kingkey Smart Agriculture Times Co.,Ltd",jjzn,主板,SZSE,L,19941101,
37,000049,德赛电池,深圳,电气设备,深圳市德赛电池科技股份有限公司,"Shenzhen Desay Battery Technology Co., Ltd.",dsdc,主板,SZSE,L,19950320,
38,000050,深天马A,深圳,元器件,天马微电子股份有限公司,"Tianma Microelectronics Co.,Ltd.",stma,主板,SZSE,L,19950315,
